gene_id	fh1	fh2	hf3	ref1	ref2	ref3
"CE145845_993"	7	3	0	3	2	2
"CE145970_216"	1	0	0	1	0	0
"CE146004_2536"	2	3	4	7	5	3
"CE1460_6561"	17	8	5	8	3	2
"CE146207_961"	1	1	1	5	2	1
"CE146599_50"	0	0	0	0	0	0
"CE146942_1013"	5	2	0	13	5	1
"CE147366_30"	0	0	0	0	0	0
"CE147549_1403"	0	0	0	0	0	0
"CE147843_1015"	3	1	0	3	0	0
"CE148088_5219"	7	2	1	5	4	3
"CE148503_2019"	3	2	3	6	2	1
"CE148765_24946"	50	8	17	27	7	14
"CE148952_25085"	88	23	29	177	45	53
"CE148985_11380"	4	3	5	15	4	9
"CE149428_3517"	11	1	4	5	2	0
"CE149715_4617"	8	5	2	17	8	7
"CE149718_447"	1	0	0	0	2	0
"CE149893_66"	0	1	0	0	0	0
"CE150232_3133"	5	1	1	8	5	5
"CE150348_5262"	8	6	6	11	5	4
"CE151067_492"	2	0	1	2	2	1
"CE151241_192"	0	0	0	0	1	0
"CE151516_36292"	5	2	2	15	7	8
"CE151558_28041"	54	20	24	73	22	12
"CE152013_80"	0	0	0	0	0	0
"CE152308_351"	2	1	0	0	0	0
"CE152347_2452"	0	0	0	7	3	3
"CE152830_2218"	3	1	2	8	2	2
"CE153297_4181"	17	1	5	11	5	6
"CE154045_175"	1	0	0	3	0	1
"CE154156_1367"	5	1	1	8	2	1
"CE154236_6801"	16	4	3	18	4	6
"CE154449_682"	0	2	1	2	0	1
"CE154453_685"	6	1	0	2	1	1
"CE154931_3754"	6	0	1	14	5	4
"CE155113_2739"	5	1	2	7	2	2
"CE155176_5477"	5	2	3	5	7	4
"CE155322_4867"	9	6	4	12	4	5
"CE155332_8114"	26	4	9	32	16	20
"CE155696_6405"	16	5	2	11	6	1
"CE155701_5346"	21	9	5	7	5	2
"CE15678_316"	4	1	0	1	1	1
"CE157096_1000"	1	0	1	0	1	0
"CE157406_826"	3	0	0	0	0	0
"CE15762_2467"	1	2	2	4	1	3
"CE157797_93"	0	0	0	0	0	0
"CE158334_6341"	2	2	2	5	4	0
"CE158385_1216"	3	3	1	5	0	0
"CE158602_4944"	4	1	2	5	3	4
"CE158698_478"	1	1	1	1	1	2
"CE158860_913"	1	1	1	6	2	1
"CE158934_4068"	7	1	2	2	2	1
"CE159200_956"	1	0	2	0	0	2
"CE159819_92"	0	0	0	0	0	0
"CE159824_2631"	9	8	4	9	4	3
"CE16043_921"	1	0	0	0	0	1
"CE161035_451"	3	0	2	4	0	0
"CE161198_901"	1	0	1	0	0	0
"CE161468_763"	0	0	0	0	1	1
"CE161682_3916"	6	6	5	5	6	3
"CE161696_4419"	18	5	6	7	9	7
"CE161710_635"	1	2	3	2	1	0
"CE161906_1181"	3	1	1	5	2	1
"CE161951_3764"	14	2	6	11	3	2
"CE162366_540"	0	1	0	0	1	1
"CE162614_754"	5	0	1	2	1	0
"CE162688_94"	1	0	0	1	0	0
"CE163528_24193"	60	19	23	54	21	13
"CE163727_5286"	12	2	1	31	5	7
"CE163982_118"	0	0	0	0	0	0
"CE164894_3938"	9	6	4	6	2	1
"CE164970_668"	0	1	1	4	3	2
"CE165220_2567"	11	7	3	12	5	9
"CE165582_567"	0	0	0	0	0	0
"CE165601_411"	1	0	0	2	0	0
"CE165609_1228"	6	1	2	9	5	5
"CE165778_233"	3	0	2	2	0	5
"CE166150_2090"	10	6	1	4	0	2
"CE167232_8103"	23	5	6	23	5	5
"CE167538_353"	6	0	1	1	0	2
"CE167863_718"	3	1	2	4	1	0
"CE168818_26877"	30	8	12	43	13	10
"CE168830_4452"	5	0	2	9	3	3
"CE169296_7679"	10	4	9	10	7	2
"CE169741_827"	3	2	2	5	2	1
"CE170568_852"	2	1	1	2	0	0
"CE171014_2770"	4	1	1	1	0	1
"CE171308_1238"	0	0	1	3	0	1
"CE171344_286"	2	0	0	6	2	1
"CE172337_1668"	2	3	0	3	0	1
"CE172770_5583"	26	5	3	7	3	1
"CE172792_7238"	15	6	3	3	0	3
"CE172845_1420"	1	0	1	4	0	0
"CE172938_1067"	1	0	2	3	0	0
"CE173995_1904"	8	4	3	1	0	0
"CE174131_1556"	5	0	1	4	0	0
"CE174822_5710"	9	2	4	11	5	3
"CE175056_517"	0	0	0	0	0	0
"CE175084_269"	0	0	0	1	0	0
"CE175217_437"	5	3	0	4	1	0
"CE175220_27"	0	0	0	0	0	0
"CE175344_3994"	25	10	9	17	3	4
"CE176514_82"	0	1	0	1	0	0
"CE176878_1947"	5	1	0	5	3	2
"CE177340_31027"	0	0	0	2	1	0
"CE177458_3614"	10	3	2	10	4	7
"CE177660_10164"	14	3	3	11	2	4
"CE177708_4528"	6	1	2	5	4	1
"CE178124_1557"	2	0	0	1	1	0
"CE178305_1213"	4	1	0	3	1	0
"CE178369_1938"	7	3	3	6	3	6
"CE178409_89"	1	1	0	2	0	0
"CE1784_1868"	17	2	4	13	6	7
"CE178620_8363"	22	5	5	20	8	5
"CE179391_307"	1	1	3	1	1	2
"CE180051_12547"	105	41	31	76	30	29
"CE180689_1872"	5	1	1	7	0	2
"CE180994_29385"	31	10	10	42	11	9
"CE181314_16917"	30	9	8	35	12	8
"CE181316_5952"	9	0	6	7	3	6
"CE181712_1100"	0	0	0	0	0	0
"CE181715_5214"	24	6	11	14	2	7
"CE181793_3936"	7	1	2	10	3	3
"CE181969_15"	0	0	0	0	1	0
"CE182180_1130"	4	3	1	6	3	0
"CE182472_1021"	9	0	2	6	3	3
"CE18360_1235"	0	1	1	2	2	1
"CE184026_165"	0	0	0	0	0	0
"CE184142_316"	6	1	1	0	0	0
"CE184285_143"	0	0	0	0	0	0
"CE184608_932"	1	0	0	4	0	1
"CE185069_102"	0	0	0	0	0	0
"CE185483_3655"	11	5	4	12	1	5
"CE185541_1105"	3	1	0	6	2	0
"CE185595_610"	0	0	1	2	1	0
"CE185804_39437"	54	25	21	49	15	17
"CE185821_3587"	11	4	3	10	0	2
"CE186778_17"	0	0	0	0	0	0
"CE186964_1685"	3	6	1	3	4	2
"CE186987_95"	0	0	0	0	0	0
"CE186991_232"	1	0	0	0	0	0
"CE187121_780"	2	2	0	3	0	0
"CE187199_178"	1	0	0	0	0	1
"CE187321_1655"	17	3	5	9	3	1
"CE187496_597"	2	1	1	4	0	1
"CE187497_628"	0	0	1	5	0	1
"CE187508_355"	0	0	0	1	1	1
"CE187799_279"	0	0	0	1	0	0
"CE188028_372"	2	0	1	0	0	2
"CE188082_730"	2	0	0	1	0	0
"CE188163_629"	0	0	0	1	0	1
"CE188198_1915"	5	1	0	2	1	0
"CE188241_764"	1	1	0	2	0	0
"CE188251_387"	1	1	0	0	0	0
"CE188317_44"	0	0	0	1	0	0
"CE188320_126"	0	0	1	0	0	0
"CE18834_45986"	46	19	12	38	10	21
"CE188367_25221"	42	11	11	69	24	29
"CE188436_24607"	46	16	10	25	8	13
"CE188594_29"	0	0	0	0	0	0
"CE188602_230"	0	0	0	0	1	0
"CE188637_82"	0	0	0	0	0	0
"CE188943_396"	2	1	1	1	1	0
"CE189073_3848"	3	1	0	8	1	0
"CE189087_91"	0	0	0	0	0	0
"CE189138_142"	1	0	0	0	0	0
"CE189263_77"	1	0	0	0	0	0
"CE189308_1461"	4	1	2	1	4	0
"CE189439_678"	2	1	0	3	1	0
"CE189452_116"	0	1	0	0	0	0
"CE189553_6565"	19	9	9	17	5	2
"CE189554_1551"	6	3	3	13	1	4
"CE189562_203"	0	0	0	1	0	1
"CE189678_64"	0	0	0	0	0	0
"CE189685_26"	0	0	0	0	0	0
"CE189788_85"	0	0	1	0	0	0
"CE189810_94"	1	0	0	1	0	1
"CE189915_101"	0	0	0	0	0	2
"CE189924_454"	0	0	0	0	0	0
"CE190192_117"	0	1	0	0	0	1
"CE190221_72"	0	0	0	0	0	0
"CE190322_26"	0	0	0	0	0	0
"CE190337_392"	0	0	0	0	0	0
"CE190361_23"	0	0	0	0	0	0
"CE190390_228"	1	0	0	2	0	1
"CE190461_50"	0	0	0	0	0	0
"CE190484_46"	0	0	0	0	0	0
"CE190530_709"	2	1	0	1	1	0
"CE190659_78"	1	0	0	0	0	0
"CE190687_267"	0	0	0	0	1	0
"CE190874_1880"	6	0	3	3	1	2
"CE19100_10732"	33	13	9	17	11	5
"CE191103_104"	0	0	0	0	0	0
"CE191167_920"	4	0	2	4	1	1
"CE191295_157"	0	0	0	0	0	0
"CE191440_234"	0	0	0	3	0	1
"CE191510_505"	1	0	2	3	1	1
"CE191570_100"	1	0	0	0	0	0
"CE191605_170"	1	0	0	1	0	0
"CE191613_1325"	7	5	3	18	8	2
"CE191668_574"	4	1	0	5	0	2
"CE191843_32"	0	0	0	0	0	0
"CE191954_173"	1	0	1	3	0	0
"CE192130_312"	0	0	0	0	0	1
"CE192349_919"	12	9	6	26	18	8
"CE192478_60"	0	0	0	0	0	0
"CE192742_194"	0	0	0	0	0	0
"CE192816_223"	0	0	0	0	0	0
"CE192892_160"	1	0	1	5	3	2
"CE193120_43"	0	0	0	0	0	0
"CE193288_331"	1	0	0	2	0	1
"CE193324_211"	2	0	0	2	0	0
"CE193678_102"	1	0	0	1	0	1
"CE193706_600"	2	1	0	0	1	1
"CE193721_87"	1	0	0	0	0	0
"CE193800_711"	4	1	0	5	2	2
"CE193841_26"	1	0	0	0	0	0
"CE193894_168"	0	0	0	3	0	0
"CE193905_59"	0	0	0	2	0	1
"CE193989_103"	0	0	0	3	0	2
"CE193997_202"	2	0	1	1	0	0
"CE194029_290"	0	1	0	3	0	0
"CE194056_266"	0	1	0	1	0	0
"CE194100_374"	0	0	1	3	0	1
"CE194123_419"	1	0	0	0	1	1
"CE194167_3084"	2	2	3	9	10	4
"CE194588_115"	1	0	1	2	0	0
"CE194627_246"	0	0	0	1	0	0
"CE194630_151"	0	1	0	1	0	0
"CE194708_4189"	3	0	3	4	3	3
"CE1948_2148"	10	2	1	9	3	2
"CE195166_1112"	0	0	0	6	2	1
"CE195169_2092"	5	1	2	5	1	1
"CE195498_105"	0	0	0	0	0	0
"CE195698_429"	3	1	1	2	1	1
"CE195840_294"	2	1	0	1	0	0
"CE195882_239"	0	3	2	2	1	1
"CE195982_191"	1	0	1	2	0	0
"CE196057_16"	0	0	0	0	0	0
"CE196072_243"	1	0	0	1	1	1
"CE196164_148"	0	0	0	0	0	0
"CE196197_21492"	6	4	1	13	3	5
"CE196370_113"	0	0	0	0	0	2
"CE196505_1455"	3	4	1	4	0	2
"CE196701_3514"	5	1	2	3	2	1
"CE196980_5179"	16	8	7	30	8	10
"CE197117_8"	0	0	0	0	0	0
"CE197264_456"	3	1	0	2	2	2
"CE197524_15263"	46	13	17	43	17	15
"CE197888_556"	1	0	0	2	1	2
"CE197926_167"	0	0	0	0	0	0
"CE198056_145"	0	0	0	0	0	1
"CE198092_559"	1	0	1	0	0	0
"CE198265_234"	0	0	0	1	0	0
"CE198371_6694"	19	8	7	21	9	7
"CE198678_60"	0	0	0	0	0	0
"CE198880_2166"	4	2	3	7	3	1
"CE199098_1400"	2	2	0	4	1	1
"CE199266_1077"	7	2	2	6	2	2
"CE200064_1119"	1	0	0	2	3	1
"CE20012_10868"	5	4	1	14	6	3
"CE200403_313"	1	0	0	0	0	2
"CE200422_354"	1	0	1	1	0	1
"CE200440_584"	1	0	1	6	0	1
"CE200453_51"	0	0	0	0	0	0
"CE200489_814"	2	0	0	1	1	0
"CE200519_1164"	0	2	0	5	3	0
"CE200580_808"	3	0	0	2	0	0
"CE200601_1622"	1	3	1	3	3	1
"CE200665_325"	1	0	1	1	0	0
"CE200701_230"	0	0	0	0	0	1
"CE201015_2879"	2	0	0	2	0	0
"CE201119_135"	0	0	0	0	0	0
"CE201129_4179"	26	9	11	27	15	12
"CE201262_296"	0	0	0	0	2	0
"CE201417_5795"	2	3	1	6	0	5
"CE201445_26822"	53	12	17	72	20	22
"CE201521_44"	0	0	0	0	0	0
"CE201529_194"	0	0	1	0	0	0
"CE201621_104"	0	1	0	0	0	0
"CE201691_492"	1	1	0	3	0	0
"CE201903_838"	4	0	1	1	0	0
"CE202029_299"	1	0	0	2	0	1
"CE202107_815"	1	1	0	1	1	1
"CE202154_486"	1	1	1	3	2	0
"CE202182_461"	1	1	1	1	1	2
"CE202482_1416"	1	0	0	0	0	0
"CE202613_1548"	6	0	3	7	1	3
"CE202809_193"	0	1	0	1	0	0
"CE202845_1106"	0	0	1	2	0	1
"CE202931_755"	1	1	0	3	0	0
"CE203017_356"	2	1	1	1	1	0
"CE203039_86"	0	1	0	0	0	1
"CE203068_126"	1	0	0	0	0	0
"CE2032_162"	0	0	0	0	1	1
"CE203320_32"	0	0	0	0	0	0
"CE203437_179"	0	1	0	0	0	0
"CE203662_1163"	3	1	0	2	0	1
"CE203862_271"	0	0	1	1	1	0
"CE203915_2160"	7	2	0	11	4	1
"CE203962_711"	2	3	0	2	2	2
"CE204027_44192"	75	28	20	43	15	12
"CE204046_1597"	6	4	1	4	2	5
"CE204261_422"	0	0	0	1	0	1
"CE204281_31887"	132	44	39	163	63	52
"CE205629_2076"	8	6	5	12	5	3
"CE20590_3021"	3	1	1	1	1	3
"CE206094_4130"	5	4	2	11	1	4
"CE206127_3962"	26	11	8	25	7	13
"CE206333_157"	1	0	0	0	0	0
"CE206506_244"	0	0	0	0	0	0
"CE206525_2729"	13	3	2	13	4	3
"CE206527_1534"	0	0	0	0	0	0
"CE207486_558"	2	0	0	4	0	1
"CE207511_415"	3	1	0	2	0	0
"CE207513_572"	3	2	0	3	2	1
"CE207523_867"	7	1	1	5	0	0
"CE207573_689"	1	1	0	0	1	0
"CE207859_49"	0	0	0	1	1	0
"CE208010_172"	0	1	0	0	1	0
"CE208097_1140"	0	1	0	2	2	1
"CE208329_1239"	1	0	0	1	0	0
"CE208447_278"	0	0	1	1	1	1
"CE208654_208"	0	0	0	0	0	0
"CE208888_249"	1	1	1	0	0	0
"CE208949_92"	0	0	0	0	0	0
"CE208993_52"	0	0	0	0	0	0
"CE209015_457"	7	1	1	7	1	2
